source_message_id,raw_text,normalized_text,segment_name,market_group,record_type,action_label,action_scope,symbol_group,symbol,symbols_json,contract_month,strike_price,option_type,direction,quantity_percent,quantity_basis,remaining_holding_multiplier,quantity_rule_source,execution_prices_json,execution_price_primary,stop_loss,targets_json,target_1,target_2,is_correction,is_multi_instrument,requires_context,auto_apply_eligible,label_confidence,needs_review,label_status,label_source,normalized_text_hash,created_at
69364f1fbfb5c7abb83c86ee,50% PROFIT BOOK IN JSWSTEEL @1171.50,50% PROFIT BOOK IN JSWSTEEL @1171.50,NSE,INDIA_EQUITY,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,JSWSTEEL,"[""JSWSTEEL""]",,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,[1171.5],1171.5,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,e0bbbc89e1e3961f,2025-12-08T04:07:59.649Z
69364fc7bfb5c7abb83c873a,50% PROFIT BOOK IN CRUDE @5403,50% PROFIT BOOK IN CRUDE @5403,MCX,INDIA_COMMODITY,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,CRUDE,"[""CRUDE""]",,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,[5403.0],5403.0,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,34c315356ba49b08,2025-12-08T04:10:47.047Z
69368a880133ba0de6bcf3c7,SL TOUCH IN JSWSTEEL,SL TOUCH IN JSWSTEEL,NSE,INDIA_EQUITY,TRADE_ACTION,CLOSE_POSITION,SINGLE_INSTRUMENT,,JSWSTEEL,"[""JSWSTEEL""]",,,,,100.0,CURRENT_HOLDING,0.0,FULL_EXIT_RULE,[],,,[],,,False,False,False,True,0.99,False,CURATED_PILOT,ASSISTANT_CURATED_RULE_REVIEW,54f912d2ca078dae,2025-12-08T08:21:28.020Z
6937ad850133ba0de6bd09ce,50% SELL NIFTY @25942 SL 26200 TGT 25800,50% SELL NIFTY @25942 SL 26200 TGT 25800,NSE,INDIA_EQUITY,TRADE_ACTION,OPEN_SHORT,SINGLE_INSTRUMENT,,NIFTY,"[""NIFTY""]",,,,SHORT,50.0,MODEL_ALLOCATION,,EXPLICIT_PERCENT,[25942.0],25942.0,26200.0,[25800.0],25800.0,,False,False,False,True,0.97,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,35318fcf194c1851,2025-12-09T05:03:01.822Z
6a0ee0ca835de84db369411c,50% PROFIT BOOK IN NIFTY,50% PROFIT BOOK IN NIFTY,NSE,INDIA_EQUITY,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,NIFTY,"[""NIFTY""]",,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,[],,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,c491c5130234989d,2026-05-21T10:39:06.515Z
6a0ee139835de84db369423d,50% PROFIT BOOK IN BANKNIFTY,50% PROFIT BOOK IN BANKNIFTY,NSE,INDIA_EQUITY,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,BANKNIFTY,"[""BANKNIFTY""]",,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,[],,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,7e219391ae70323d,2026-05-21T10:40:57.746Z
6a139ce1835de84db3696c33,Sell 50% gold Jun at above price.,Sell 50% gold Jun at above price.,International Market,GLOBAL_COMMODITY,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,GOLD,"[""GOLD""]",JUN,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,[],,,[],,,False,False,True,False,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,4e099864e5ac4a18,2026-05-25T00:50:41.756Z
6a139e11835de84db3696c5b,Sell copper @6.43 with sl 6.51 for target 6.30,Sell copper @6.43 with sl 6.51 for target 6.30,International Market,GLOBAL_COMMODITY,TRADE_ACTION,OPEN_SHORT,SINGLE_INSTRUMENT,,COPPER,"[""COPPER""]",,,,SHORT,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,[6.43],6.43,6.51,[6.3],6.3,,False,False,False,True,0.96,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,0363be26aed922fa,2026-05-25T00:55:45.163Z
6a13c3d5835de84db3696cd8,BUY CRUDE MINI  @8637 SL 8500 TGT 8800-9100,BUY CRUDE MINI @8637 SL 8500 TGT 8800-9100,MCX,INDIA_COMMODITY,TRADE_ACTION,OPEN_LONG,SINGLE_INSTRUMENT,,CRUDE_MINI,"[""CRUDE_MINI""]",,,,LONG,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,[8637.0],8637.0,8500.0,"[8800.0, 9100.0]",8800.0,9100.0,False,False,False,True,0.98,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,9cb8ccbf2a7a3406,2026-05-25T03:36:53.146Z
6a13c3e4835de84db3696ce4,SELL COPPER @1348 SL 1356 TGT 1342-1338,SELL COPPER @1348 SL 1356 TGT 1342-1338,MCX,INDIA_COMMODITY,TRADE_ACTION,OPEN_SHORT,SINGLE_INSTRUMENT,,COPPER,"[""COPPER""]",,,,SHORT,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,[1348.0],1348.0,1356.0,"[1342.0, 1338.0]",1342.0,1338.0,False,False,False,True,0.96,False,CURATED_PILOT,ASSISTANT_CURATED_RULE_REVIEW,b29a8d88f6222412,2026-05-25T03:37:08.516Z
